INIT;STARTED;2022-10-09_17:03:12.384;
2022-10-09_17:03:17.191;47.19580614549009;18.399834655110155;
2022-10-09_17:03:18.198;47.195878439260724;18.399746720045297;
2022-10-09_17:03:19.210;47.19594134367573;18.39963114940632;
2022-10-09_17:03:20.197;47.19600217332991;18.399477830797675;
2022-10-09_17:03:21.207;47.19608732023025;18.399365170637637;
2022-10-09_17:03:22.509;47.19619939297558;18.39923287547484;
2022-10-09_17:03:23.530;47.19628216840375;18.399135117003098;
2022-10-09_17:03:24.530;47.196354979854505;18.399037460868946;
2022-10-09_17:03:25.538;47.19642351766815;18.398929908875783;
2022-10-09_17:03:26.528;47.1964949185689;18.39881939072066;
2022-10-09_17:03:27.528;47.196570166201205;18.398701252875366;
2022-10-09_17:03:28.536;47.1966419281564;18.398580765284468;
2022-10-09_17:03:29.541;47.19671462316586;18.3984517044588;
2022-10-09_17:03:30.539;47.196794856359;18.39832840910608;
2022-10-09_17:03:31.522;47.196878879184695;18.39820208103265;
2022-10-09_17:03:32.541;47.196970645349396;18.39807823917847;
2022-10-09_17:03:33.540;47.1970577648812;18.39795872837775;
2022-10-09_17:03:34.533;47.19714560194494;18.397841423641708;
2022-10-09_17:03:35.536;47.19723916012441;18.39772158558965;
2022-10-09_17:03:36.530;47.19733514039644;18.397600298086576;
2022-10-09_17:03:37.538;47.197435265280106;18.39747535035351;
2022-10-09_17:03:38.529;47.197533954420095;18.39734717683625;
2022-10-09_17:03:39.540;47.19763447154286;18.397211247515372;
2022-10-09_17:03:40.538;47.197735648692245;18.39707586364548;
2022-10-09_17:03:41.535;47.197831713464645;18.396933147470875;
2022-10-09_17:03:42.525;47.197927494353124;18.396793600828723;
2022-10-09_17:03:43.538;47.198017597676554;18.39665808570439;
2022-10-09_17:03:44.569;47.19810717923006;18.396524808522642;
2022-10-09_17:03:45.569;47.19819544313679;18.396399234709467;
2022-10-09_17:03:46.562;47.19828459831565;18.396265927901204;
2022-10-09_17:03:47.577;47.198372371709794;18.39613717467169;
2022-10-09_17:03:48.564;47.198459301920586;18.396007345622742;
2022-10-09_17:03:49.570;47.19854608681686;18.395868398029933;
2022-10-09_17:03:50.561;47.19863191356088;18.395731641987975;
2022-10-09_17:03:51.562;47.19871904435277;18.395586858450994;
2022-10-09_17:03:52.564;47.198811192502774;18.395445180272155;
2022-10-09_17:03:53.568;47.198899771395205;18.395319089394036;
2022-10-09_17:03:54.552;47.19898833105414;18.39518890448584;
2022-10-09_17:03:55.563;47.19908100045535;18.395061442976168;
2022-10-09_17:03:56.563;47.199169851567895;18.394924012997436;
2022-10-09_17:03:57.551;47.19926040083301;18.39477780470389;
2022-10-09_17:03:58.569;47.19935071647234;18.39464286679325;
2022-10-09_17:03:59.574;47.199445201874255;18.39451311887383;
2022-10-09_17:04:00.567;47.199536206024334;18.394378107663087;
2022-10-09_17:04:01.567;47.199629542513634;18.394246408494492;
2022-10-09_17:04:02.564;47.19972157538633;18.39411944362697;
2022-10-09_17:04:03.560;47.19982121053214;18.393983639940878;
2022-10-09_17:04:04.568;47.1999206594679;18.393857504935358;
2022-10-09_17:04:05.574;47.200023407004956;18.393735383256026;
2022-10-09_17:04:06.565;47.20012651556321;18.393617647215102;
2022-10-09_17:04:07.561;47.20022711700955;18.393498888873108;
2022-10-09_17:04:08.566;47.20033302807256;18.393377259696603;
2022-10-09_17:04:09.572;47.2004381716219;18.393259228971285;
2022-10-09_17:04:10.571;47.20054288867869;18.393139277912063;
2022-10-09_17:04:11.568;47.200646603898775;18.39302216715478;
2022-10-09_17:04:12.555;47.20075315227922;18.392899531650123;
2022-10-09_17:04:13.573;47.200857548455815;18.392780642835845;
2022-10-09_17:04:14.570;47.20096065702143;18.392663035876275;
2022-10-09_17:04:15.570;47.20106282956649;18.392546425413887;
2022-10-09_17:04:16.563;47.20116152548643;18.39243198598113;
2022-10-09_17:04:17.574;47.201258719049534;18.392318668861225;
2022-10-09_17:04:18.566;47.2013551593795;18.392207785669232;
2022-10-09_17:04:19.575;47.20144832268794;18.392095826641096;
2022-10-09_17:04:20.566;47.201546128747125;18.39198195324509;
2022-10-09_17:04:21.565;47.20164547620274;18.391867305143236;
2022-10-09_17:04:22.562;47.201742565050466;18.39175427255022;
2022-10-09_17:04:23.563;47.2018370898208;18.391643900203462;
2022-10-09_17:04:24.566;47.201930170300116;18.391538016324642;
2022-10-09_17:04:25.571;47.20201447268357;18.39143939354653;
2022-10-09_17:04:26.569;47.20209107166139;18.39134856640947;
2022-10-09_17:04:27.555;47.20215602767161;18.391272260484417;
2022-10-09_17:04:28.570;47.20221003335075;18.391208383662438;
2022-10-09_17:04:29.564;47.2022595966255;18.39114794615171;
2022-10-09_17:04:30.565;47.20231296856332;18.391091526669324;
2022-10-09_17:04:31.572;47.20235986117765;18.39104139092429;
2022-10-09_17:04:32.568;47.202409443749524;18.390983030164087;
2022-10-09_17:04:33.574;47.20246480924138;18.39092001304743;
